X,visits,days_attend,hours_attend,gender,age,zip,extend,length,spend_food_drink,spend_private,spend_clothes,spend_transportation,spend_donations,spend_other,spend_food_drink_total,spend_entertainment_total,spend_shopping_total,spend_travel_total,length_boulder,lodging,lodging_cost
280,1-2 times,0,4,Female,55-64,91335,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",NA,0,$100-$199,$100-$199,$21-$49,"$5,000.00",$50-$99,$1 - $20,$1 - $20,$50-$99,Day trip,"Friends, family or no expense",280
99,12,1-2 days,3,Female,55-64,80305,No,2 days,$1 - $20,$1 - $20,$1 - $20,$1 - $20,0,0,0,$100-$199,$1 - $20,$500-$999,Live in Boulder,"Friends, family or no expense",240
52,5-6 times,0,0,Male,65-74,80309,NA,2 days,0,0,0,0,0,0,NA,$50-$99,$1 - $20,$200-$499,NA,"Friends, family or no expense",NA
251,20,3-4 days,2,Male,55-64,93111,No,Home is here,$1 - $20,$1 - $20,$1 - $20,$21-$49,$200-$499,0,$100-$199,$100-$199,$100-$199,$50-$99,Multiple day trips,Boulder Resident,125
281,1-2 times,3-4 days,4,Male,18-24,93107,Yes,-,$200-$499,$100-$199,"$1,000-$1,499",$1 - $20,$100-$199,$21-$49,$1 - $20,0,0,0,Resident,Home,0
168,47,3-4 days,3,Female,45-54,80306,No,2 days,$21-$49,0,$21-$49,$1 - $20,0,0,"$1,000-$1,999",$200-$499,$1 - $20,$1 - $20,NA,Boulder Resident,500
186,5-6 times,1-2 days,3,Male,25-34,80303,No,1 day,$21-$49,0,0,0,0,NA,$100-$199,NA,$20-$49,$20-$49,Day trip,Boulder Resident,175
257,20,3-4 days,5,Female,18-24,93013,No,0,$200-$499,$200-$499,$200-$499,$100-$199,$100-$199,"$5,000.00",$20-$49,$200-$499,$100-$199,$50-$99,Day trip,Boulder Resident,125
130,20,7-8 days,3,Female,35-44,80309,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$200-$499,0,$21-$49,$21-$49,0,$1 - $20,NA,0,$100-$199,$50-$99,NA,Boulder Resident,N/A
108,20,1-2 days,2,Male,45-54,80303,Yes,Home is here,$100-$199,"$2,000-$3,000",$200-$499,$21-$49,NA,$100-$199,0,0,$1 - $20,0,NA,Hotel or motel,280
185,5-6 times,1-2 days,1,Female,25-34,93013,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,0,0,0,0,0,"$2,000-$4,999",$500-$999,$500-$999,$20-$49,One night,Hotel or motel,N/A
265,20,3-4 days,2,Female,55-64,80305,No,Live in area,$50-$99,$21-$49,$200-$499,$200-$499,0,$100-$199,$1 - $20,$20-$49,$20-$49,$20-$49,Local resident,Home,N/A
16,20,0,0,Female,65-74,80309,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,0,0,0,0,0,$50-$99,$20-$49,$500-$999,NA,Live in Boulder,Hotel or motel,0
75,20,1-2 days,1,Female,65-74,80306,NA,I live here,$1 - $20,NA,NA,NA,$200-$499,"$3,000-$4,000",$200-$499,$20-$49,NA,$1 - $20,NA,Boulder Resident,175
91,5-6 times,1-2 days,2,Female,35-44,93111,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,0,0,0,0,0,$1 - $20,$200-$499,$50-$99,0,Three nights,Home,125
7,20,0,3,Male,45-54,80302,No,Zero,0,0,0,0,0,0,"$2,000-$4,999",$1 - $20,$100-$199,$20-$49,Three nights,Boulder Resident,NA
132,20,7-8 days,9,Female,55-64,80309,Yes,2 days,$200-$499,$100-$199,$500-$999,$50-$99,$100-$199,$200-$499,$50-$99,$100-$199,$20-$49,$500-$999,Three nights,Home,0
102,20,3-4 days,8,Female,35-44,80303,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$100-$199,$100-$199,$1 - $20,$1 - $20,0,"$3,000-$4,000",$200-$499,$100-$199,$100-$199,$1 - $20,Three nights,NA,500
89,3-4 times,1-2 days,1,Female,25-34,80303,Yes,2 days,$1 - $20,$100-$199,"$1,000.00",$21-$49,$500-$999,0,$1 - $20,$200-$499,$1 - $20,$50-$99,Local,NA,200
277,20,0,0,Female,55-64,80303,No,Home is here,0,$200-$499,"$1,000-$1,499","$2,000-$3,000",NA,0,$200-$499,$200-$499,$100-$199,$1 - $20,Day trip,NA,500
185,5-6 times,1-2 days,1,Female,25-34,93013,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,0,0,0,0,0,"$2,000-$4,999",$500-$999,$500-$999,$20-$49,One night,Hotel or motel,N/A
22,20,1-2 days,3,Female,65-74,80309,No,A few hours,0,0,0,$1 - $20,0,$1 - $20,$1 - $20,NA,$1 - $20,$1 - $20,Local,"Friends, family or no expense",200
226,3-4 times,3-4 days,2,Male,45-54,80309,No,1 day,$50-$99,0,0,$1 - $20,$1 - $20,0,$100-$199,0,$200-$499,NA,Day trip,Home,175
170,1-2 times,1-2 days,3,Female,25-34,93111,No,Zero,$21-$49,0,0,$1 - $20,0,0,"$1,000-$1,999",0,$500-$999,NA,Four nights,Hotel or motel,175
39,3-4 times,1-2 days,2,Female,75-84,80306,Yes,1 day,0,0,0,0,0,0,0,$50-$99,$20-$49,$200-$499,NA,Home,280
182,3-4 times,1-2 days,4,Female,45-54,80304,No,A few hours,$21-$49,$50-$99,"$1,000.00",$50-$99,$1 - $20,"$5,000.00",$200-$499,$50-$99,$50-$99,$500-$999,Multiple day trips,Boulder Resident,0
202,20,3-4 days,9,Male,35-44,80303,NA,2 days,$50-$99,0,0,0,0,0,"$1,000-$1,999",NA,$500-$999,$1 - $20,Two nights,"Friends, family or no expense",3
85,3-4 times,1-2 days,2,Female,18-24,80303,No,I live here,$1 - $20,$500-$999,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$200-$499,$500-$999,0,$50-$99,Local,Hotel or motel,280
234,5-6 times,1-2 days,2,Female,45-54,80303,Yes,I live here,$50-$99,0,0,0,0,0,$1 - $20,$200-$499,$200-$499,$500-$999,Local,Boulder Resident,N/A
293,29,0,2,Male,55-64,80303,Yes,Home is here,0,$500-$999,$500-$999,$50-$99,$500-$999,$500-$999,"$1,000-$1,999",$50-$99,$200-$499,$200-$499,Resident,Home,NA
263,20,1-2 days,2,Female,35-44,80305,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$100-$199,$1 - $20,$200-$499,"$2,000-$3,000","$1,000-$1,499",0,$20-$49,0,$50-$99,0,Live in Boulder,Home,0
268,20,3-4 days,4,Female,35-44,80305,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,"$1,000-$1,499","$1,000-$1,499",$21-$49,$1 - $20,$1 - $20,$50-$99,$50-$99,$20-$49,$20-$49,Two nights,"Friends, family or no expense",240
18,20,1-2 days,2,Female,35-44,80303,NA,Live in area,0,0,$1 - $20,0,0,0,$1 - $20,$200-$499,NA,$20-$49,Multiple day trips,Home,500
205,20,3-4 days,3,Female,35-44,80309,Yes,NA,$50-$99,0,$1 - $20,$1 - $20,0,$1 - $20,"$2,000-$4,999",$200-$499,0,$1 - $20,Live in Boulder,Home,3
278,35,3-4 days,4,Female,85,80305,Yes,NA,$1 - $20,0,NA,$500-$999,$200-$499,"$5,000.00",$200-$499,$100-$199,$100-$199,$20-$49,Day trip,"Friends, family or no expense",240
56,20,1-2 days,2,Female,55-64,93111,No,Live in area,$1 - $20,0,0,0,0,$50-$99,$100-$199,NA,0,$50-$99,Local,Boulder Resident,125
255,20,1-2 days,4,Male,55-64,93111,NA,I live here,0,$50-$99,$1 - $20,$21-$49,0,$1 - $20,$100-$199,$100-$199,$20-$49,$20-$49,Day trip,Home,280
14,20,0,8,Male,55-64,80309,Yes,A few hours,0,0,0,0,0,0,$50-$99,$500-$999,$20-$49,0,Resident,NA,0
104,20,3-4 days,3,Female,45-54,80303,Yes,0,$100-$199,0,$50-$99,$1 - $20,$1 - $20,$50-$99,$1 - $20,$200-$499,$200-$499,$1 - $20,Local,NA,N/A
176,1-2 times,1-2 days,2,Male,35-44,80304,No,I live here,$21-$49,$21-$49,$21-$49,"$2,000-$3,000",$200-$499,$500-$999,"$1,000-$1,999",$200-$499,$50-$99,$20-$49,Live in Boulder,NA,200
69,20,1-2 days,3,Female,55-64,80306,NA,Live in area,$1 - $20,0,0,$1 - $20,$1 - $20,"$5,000.00",$200-$499,$500-$999,$500-$999,$500-$999,Local resident,"Friends, family or no expense",0
127,20,7-8 days,3,Female,35-44,80309,Yes,-,$200-$499,0,$21-$49,$21-$49,0,NA,"$2,000-$4,999",$500-$999,$100-$199,$20-$49,I live here,Home,500
29,1-2 times,0,2,Female,55-64,80303,Yes,NA,0,0,0,0,0,0,$50-$99,0,$500-$999,$1 - $20,Four nights,NA,240
71,20,3-4 days,3,Female,55-64,80304,No,Didn't extend stay,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$100-$199,$100-$199,$1 - $20,$50-$99,$500-$999,Four nights,"Friends, family or no expense",175
160,20,1-2 days,5,Female,25-34,93113,No,I live here,$21-$49,$1 - $20,$1 - $20,$21-$49,$50-$99,0,"$1,000-$1,999",$50-$99,$200-$499,0,Local resident,Boulder Resident,280
66,20,3-4 days,2,Male,55-64,80306,No,2 days,$1 - $20,0,$21-$49,0,0,0,NA,NA,$500-$999,$500-$999,Local,"Friends, family or no expense",0
240,1,12,4,Female,18-24,12345,Yes,-,$500-$999,"$2,000-$3,000",$100-$199,$500-$999,0,$500-$999,$1 - $20,$100-$199,$200-$499,$1 - $20,Day trip,Hotel or motel,3
89,3-4 times,1-2 days,1,Female,25-34,80303,Yes,2 days,$1 - $20,$100-$199,"$1,000.00",$21-$49,$500-$999,0,$1 - $20,$200-$499,$1 - $20,$50-$99,Local,NA,200
132,20,7-8 days,9,Female,55-64,80309,Yes,2 days,$200-$499,$100-$199,$500-$999,$50-$99,$100-$199,$200-$499,$50-$99,$100-$199,$20-$49,$500-$999,Three nights,Home,0
144,20,1-2 days,6,Female,55-64,80305,No,0,$21-$49,0,0,$1 - $20,0,0,"$1,000-$1,999",$20-$49,0,$500-$999,Local resident,NA,NA
126,20,7-8 days,3,Female,35-44,80309,No,0,$200-$499,0,$21-$49,$21-$49,0,$500-$999,0,0,$1 - $20,0,Two nights,Boulder Resident,125
206,20,5-6 days,2,Female,Prefer not to say,80309,NA,A few hours,$50-$99,NA,$1 - $20,$1 - $20,"$1,000-$1,499",$21-$49,$20-$49,$1 - $20,$500-$999,$50-$99,Day trip,"Friends, family or no expense",240
63,20,3-4 days,2,Female,55-64,80306,NA,-,$1 - $20,0,$1 - $20,0,0,0,$1 - $20,$1 - $20,NA,0,Local,Home,175
277,20,0,0,Female,55-64,80303,No,Home is here,0,$200-$499,"$1,000-$1,499","$2,000-$3,000",NA,0,$200-$499,$200-$499,$100-$199,$1 - $20,Day trip,NA,500
170,1-2 times,1-2 days,3,Female,25-34,93111,No,Zero,$21-$49,0,0,$1 - $20,0,0,"$1,000-$1,999",0,$500-$999,NA,Four nights,Hotel or motel,175
206,20,5-6 days,2,Female,Prefer not to say,80309,NA,A few hours,$50-$99,NA,$1 - $20,$1 - $20,"$1,000-$1,499",$21-$49,$20-$49,$1 - $20,$500-$999,$50-$99,Day trip,"Friends, family or no expense",240
25,1-2 times,0,0,Female,45-54,80303,Yes,Didn't extend stay,0,0,0,0,0,0,$1 - $20,0,$20-$49,NA,Four nights,NA,125
111,25,7-8 days,5,Female,35-44,93013,Yes,2 days,$100-$199,0,$50-$99,$50-$99,$50-$99,0,"$1,000-$1,999",$50-$99,$500-$999,0,One night,"Friends, family or no expense",125
40,40,0,0,Male,45-54,80306,No,2 days,0,0,0,0,0,0,"$1,000-$1,999",NA,$100-$199,$1 - $20,Live in Boulder,Home,280
119,25,5-6 days,4,Female,45-54,93035,No,NA,$100-$199,0,$100-$199,$50-$99,0,$21-$49,"$1,000-$1,999",$100-$199,$500-$999,$20-$49,One night,"Friends, family or no expense",125
